timestamp,well_id,stage,treating_pressure_psi,slurry_rate_bpm,proppant_conc_lbgal,planned_pressure_psi,planned_slurry_rate_bpm,pressure_deviation_psi,is_pumping,known_injected_issue
2026-01-15 06:00:00,W-101,1,8196.1,86.92,3.05,8423.7,87.9,-227.6,1,none
2026-01-15 06:01:00,W-101,1,8830.6,83.19,3.0,8423.7,87.9,406.9,1,none
2026-01-15 06:02:00,W-101,1,8405.7,87.2,3.16,8423.7,87.9,-18.0,1,none
2026-01-15 06:03:00,W-101,1,8247.2,91.01,2.99,8423.7,87.9,-176.5,1,none
2026-01-15 06:04:00,W-101,1,8255.5,87.26,2.64,8423.7,87.9,-168.2,1,none
2026-01-15 06:05:00,W-101,1,8345.4,85.45,2.84,8423.7,87.9,-78.3,1,none
2026-01-15 06:06:00,W-101,1,8332.0,86.78,3.24,8423.7,87.9,-91.7,1,none
2026-01-15 06:07:00,W-101,1,8454.9,90.25,3.2,8423.7,87.9,31.2,1,none
2026-01-15 06:08:00,W-101,1,8468.0,87.11,2.93,8423.7,87.9,44.3,1,none
2026-01-15 06:09:00,W-101,1,8446.1,90.65,3.08,8423.7,87.9,22.4,1,none
2026-01-15 06:10:00,W-101,1,8701.5,83.73,3.49,8423.7,87.9,277.9,1,none
2026-01-15 06:11:00,W-101,1,10553.1,85.15,2.99,8423.7,87.9,2129.5,1,pressure_spike
2026-01-15 06:12:00,W-101,1,9797.4,86.31,2.99,8423.7,87.9,1373.7,1,none
2026-01-15 06:13:00,W-101,1,10375.4,83.74,3.03,8423.7,87.9,1951.8,1,pressure_spike
2026-01-15 06:14:00,W-101,1,10213.1,97.35,3.1,8423.7,87.9,1789.4,1,pressure_spike
2026-01-15 06:15:00,W-101,1,10229.7,84.42,2.93,8423.7,87.9,1806.0,1,pressure_spike
2026-01-15 06:16:00,W-101,1,8143.2,90.86,3.1,8423.7,87.9,-280.5,1,none
2026-01-15 06:17:00,W-101,1,8706.2,85.8,2.64,8423.7,87.9,282.5,1,none
2026-01-15 06:18:00,W-101,1,8419.0,86.29,3.05,8423.7,87.9,-4.6,1,none
2026-01-15 06:19:00,W-101,1,8491.2,88.9,3.0,8423.7,87.9,67.6,1,none
2026-01-15 06:20:00,W-101,1,8502.9,83.26,2.95,8423.7,87.9,79.2,1,none
2026-01-15 06:21:00,W-101,1,8581.8,85.81,2.91,8423.7,87.9,158.2,1,none
2026-01-15 06:22:00,W-101,1,8367.9,87.46,2.88,8423.7,87.9,-55.7,1,none
2026-01-15 06:23:00,W-101,1,8418.0,85.22,2.85,8423.7,87.9,-5.7,1,none
2026-01-15 06:24:00,W-101,1,8441.8,85.3,2.58,8423.7,87.9,18.1,1,none
2026-01-15 06:25:00,W-101,1,8550.0,91.41,2.95,8423.7,87.9,126.3,1,none
2026-01-15 06:26:00,W-101,1,8397.0,91.15,3.19,8423.7,87.9,-26.6,1,none
2026-01-15 06:27:00,W-101,1,8417.4,86.52,2.93,8423.7,87.9,-6.3,1,none
2026-01-15 06:28:00,W-101,1,8281.4,87.66,3.11,8423.7,87.9,-142.3,1,none
2026-01-15 06:29:00,W-101,1,8275.8,91.89,2.8,8423.7,87.9,-147.9,1,none
2026-01-15 06:30:00,W-101,1,8604.0,83.37,2.76,8423.7,87.9,180.3,1,none
2026-01-15 06:31:00,W-101,1,8724.0,89.01,2.86,8423.7,87.9,300.4,1,none
2026-01-15 06:32:00,W-101,1,8353.7,94.25,2.81,8423.7,87.9,-70.0,1,none
2026-01-15 06:33:00,W-101,1,8495.0,94.22,2.78,8423.7,87.9,71.4,1,none
2026-01-15 06:34:00,W-101,1,8197.0,81.72,3.07,8423.7,87.9,-226.7,1,none
2026-01-15 06:35:00,W-101,1,8346.0,85.49,3.31,8423.7,87.9,-77.7,1,none
2026-01-15 06:36:00,W-101,1,8338.8,88.47,2.87,8423.7,87.9,-84.9,1,none
2026-01-15 06:37:00,W-101,1,8713.3,83.7,2.69,8423.7,87.9,289.6,1,none
2026-01-15 06:38:00,W-101,1,8485.0,85.79,3.11,8423.7,87.9,61.4,1,none
2026-01-15 06:39:00,W-101,1,8158.9,87.49,2.73,8423.7,87.9,-264.7,1,none
2026-01-15 06:40:00,W-101,1,8009.8,92.42,2.78,8423.7,87.9,-413.9,1,none
2026-01-15 06:41:00,W-101,1,8225.3,87.79,3.08,8423.7,87.9,-198.3,1,none
2026-01-15 06:42:00,W-101,1,8456.5,88.63,2.96,8423.7,87.9,32.8,1,none
2026-01-15 06:43:00,W-101,1,8485.3,89.57,2.87,8423.7,87.9,61.6,1,none
2026-01-15 06:44:00,W-101,1,8565.4,89.67,3.01,8423.7,87.9,141.7,1,none
2026-01-15 06:45:00,W-101,1,8074.7,88.02,2.92,8423.7,87.9,-349.0,1,none
2026-01-15 06:46:00,W-101,1,8530.9,84.1,3.33,8423.7,87.9,107.2,1,none
2026-01-15 06:47:00,W-101,1,8428.5,90.46,2.87,8423.7,87.9,4.8,1,none
2026-01-15 06:48:00,W-101,1,8513.6,89.31,2.83,8423.7,87.9,89.9,1,none
2026-01-15 06:49:00,W-101,1,8548.9,84.42,2.91,8423.7,87.9,125.2,1,none
2026-01-15 06:50:00,W-101,1,8868.4,85.75,2.92,8423.7,87.9,444.7,1,none
2026-01-15 06:51:00,W-101,1,8627.2,90.77,3.1,8423.7,87.9,203.5,1,none
2026-01-15 06:52:00,W-101,1,8442.0,89.87,2.63,8423.7,87.9,18.3,1,none
2026-01-15 06:53:00,W-101,1,8503.3,85.63,3.07,8423.7,87.9,79.6,1,none
2026-01-15 06:54:00,W-101,1,8242.6,87.07,2.9,8423.7,87.9,-181.1,1,none
2026-01-15 06:55:00,W-101,1,8224.6,87.47,3.13,8423.7,87.9,-199.1,1,none
2026-01-15 06:56:00,W-101,1,8067.3,89.91,2.98,8423.7,87.9,-356.4,1,none
